school,team,city,state,region,division,coach_name,coach_email,coach_phone,athletics_director_name,athletics_director_email,athletics_director_phone,school_team_site,source_urls,notes
Bozeman,,,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Glacier,,Kalispell,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e | https://apps.opi.mt.gov/OPIReportingCenter/frmCentralDirectory.aspx?GradeType=HS&ProcName=procCentralDirectorySchoolStaffByDistrict&ScreenMsg=Database+of+all+the+high+schools+in+Montana&ScreenTitle=High+School&ShowReport=1,OPI match: Glacier High School; main school phone/email: (406)758-8600 hollowayb@sd5.k12.mt.us
Skyview,,Billings,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Billings West,,Billings,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Gallatin,,Bozeman,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Big Sky,,Missoula,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Sentinel,,Missoula,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Russell,,Great Falls,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Helena,,,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Great Falls,,,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Butte,,,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
Hellgate,,Missoula,MT,Montana,Class AA,,,,,,,,https://www.maxpreps.com/mt/football/25-26/class/class-aa/?statedivisionid=a1fa107e-216d-4902-ab91-63c576c9973e,
